source	target	link	AMI_number
SHARPIN	ITGAL	ppi	1
SHARPIN	ITGAM	ppi	1
TGFB2	VTN	ppi	1
TGFB2	VASN	ppi	1
TGFB2	PZP	ppi	1
IGFBP4	IGF2	ppi	1
IGFBP4	IGF1	ppi	1
PLAUR	ITGAM	ppi	1
IGFBP5	IGF2	ppi	1
IGFBP5	VTN	ppi	1
IGFBP5	IGF1	ppi	1
IGFBP5	THBS1	ppi	1
IGFBP5	LTBP1	ppi	1
IGFBP5	IGFALS	ppi	1
SDC4	TGFB3	ppi	1
THBS2	MMP2	ppi	1
TGFBR3	TGFB3	ppi	1
VCAN	CCL2	ppi	1
VCAN	MMP9	ppi	1
ITGB3	ITGA2B	ppi	1
ITGB3	THBS1	ppi	1
ITGB3	ITGAV	ppi	1
MMP2	CCL7	ppi	1
MMP2	THBS1	ppi	1
MMP2	BCAN	ppi	1
MMP2	TIMP4	ppi	1
MMP2	PZP	ppi	1
MMP2	PCSK9	ppi	1
GNRH1	MEP1A	ppi	1
CYR61	ITGAV	ppi	1
ITGA2B	AUP1	ppi	1
TGFB3	VASN	ppi	1
ITGAL	ICAM1	ppi	1
IGF2	VTN	ppi	1
IGF2	IGFBP3	ppi	1
IGF2	NOV	ppi	1
IGF2	NMRK2	ppi	1
IGF2	IDE	ppi	1
IGF2	IGFBP6	ppi	1
IGF2	TF	ppi	1
IGF2	IGFBP7	ppi	1
IGF2	IGFBP1	ppi	1
IGF2	PCSK4	ppi	1
ICAM1	ITGAM	ppi	1
IGF1	IGFBP3	ppi	1
IGF1	NOV	ppi	1
IGF1	IDE	ppi	1
IGF1	TF	ppi	1
IGF1	IGFBP7	ppi	1
IGF1	IGSF1	ppi	1
INS	NOV	ppi	1
INS	IGFBP7	ppi	1
NOV	ITGAV	ppi	1
MMP3	BCAN	ppi	1
TF	IGFBP3	ppi	1
CXCL6	MMP9	ppi	1
CCR3	CCL7	ppi	1
CCR3	CCL2	ppi	1
BCAN	MMP13	ppi	1
MEP1A	MMP9	ppi	1
MMP9	CXCL5	ppi	1
MMP9	MEP1B	ppi	1
LTBP1	IGFBP3	ppi	1
IGFBP3	PAPPA2	ppi	1
IGFBP3	IGFALS	ppi	1
CCL2	ACKR1	ppi	1
ITGAV	AUP1	ppi	1
ITGAM	AUP1	ppi	1
NES	IDE	ppi	1
VCAM1	MSN	ppi	2
VCAM1	EZR	ppi	2
VCAM1	ITGAD	ppi	2
VCAM1	CCL17	ppi	2
SLC9A1	CHP1	ppi	2
SLC9A1	CA2	ppi	2
SPN	MSN	ppi	2
SPN	EZR	ppi	2
CD44	MSN	ppi	2
CD44	TIAM1	ppi	2
